shop,city,location,category,name,brand,price_prime,price_regular,price_now,discount
DISLICORES,Medellín,Store,licores,WHISKY BUCHANANS DELUXE 12 AÑOS BLENDED,SIN MARCA,0,0,74600,0
DISLICORES,Medellín,Store,licores,WHISKY BUCHANANS DELUXE 12 AÑOS BLENDED,SIN MARCA,0,0,141400,0
DISLICORES,Medellín,Store,licores,WHISKY BUCHANANS DELUXE 12 AÑOS BLENDED,SIN MARCA,0,0,182900,0
DISLICORES,Medellín,Store,licores,WHISKY OLD PARR 12 AÑOS BLENDED,SIN MARCA,0,0,125200,0
DISLICORES,Medellín,Store,licores,WHISKY OLD PARR 12 AÑOS BLENDED,SIN MARCA,0,0,157600,0
DISLICORES,Medellín,Store,licores,WHISKY OLD PARR 12 AÑOS BLENDED,SIN MARCA,0,0,95700,0
DISLICORES,Medellín,Store,licores,WHISKY CHIVAS REGAL 12 AÑOS,SIN MARCA,0,0,74100,0
DISLICORES,Medellín,Store,licores,WHISKY CHIVAS REGAL 12 AÑOS,SIN MARCA,0,0,11900,0
DISLICORES,Medellín,Store,licores,WHISKY CHIVAS REGAL 12 AÑOS,SIN MARCA,0,0,119700,0
DISLICORES,Medellín,Store,licores,WHISKY CHIVAS REGAL 12 AÑOS,SIN MARCA,0,0,11900,0
DISLICORES,Medellín,Store,licores,WHISKY CHIVAS REGAL 12 AÑOS,SIN MARCA,0,0,119700,0
DISLICORES,Medellín,Store,licores,WHISKY BUCHANANS MASTER BLENDED,SIN MARCA,0,0,0,0
DISLICORES,Medellín,Store,licores,WHISKY BUCHANANS MASTER BLENDED,SIN MARCA,0,0,168700,0
DISLICORES,Medellín,Store,licores,WHISKY JOHNNIE WALKER BLACK LABEL BLENDED,SIN MARCA,0,0,71500,0
DISLICORES,Medellín,Store,licores,WHISKY JOHNNIE WALKER BLACK LABEL BLENDED,SIN MARCA,0,0,0,0
DISLICORES,Medellín,Store,licores,WHISKY JOHNNIE WALKER BLACK LABEL BLENDED,SIN MARCA,0,0,163600,0
DISLICORES,Medellín,Store,licores,CREMA DE WHISKY BAILEYS ORIGINAL,SIN MARCA,0,0,66500,0
DISLICORES,Medellín,Store,licores,CREMA DE WHISKY BAILEYS ORIGINAL,SIN MARCA,0,0,40900,0
